Incident_ID,Date,Department,Model,Sub_Assembly,Incident_Description
25-057,2025-04-01 00:00:00,Customer Service,DCP,Bike Accessories,"Changed footplates on existing order and sent email on 03/10 to advise of the change in GP, trike shipped 03/25 with the original incorrect footplates. Also, no SN photo but we are just at the week as of today. "
25-058,2025-04-02 00:00:00,Kitting,AS ,Rear Steer,Rear Steers from central sandblast have been coming back with paint issues and scuffs. unsure if this is a paint issue or a shipping/receiving issue.
25-059,2025-04-03 00:00:00,ASSEMBLY,,,PART NUMBER 5012261 CRANK ECCENTRIC IS NOT ON PICK LIST SHOULD BE FOR ALL ASR MODELS.
25-060,2025-04-03 00:00:00,Customer Service,ASR,Bike Drive Train,ASR2011 had loose spokes causing a poping and cracking noise - resolved
25-061,2025-04-03 00:00:00,Customer Service,,,"Provided DW axle instead on FW axle on local parts order, I noticed before causing any issues. I checked the bins and FW & DW axles were in the incorrect bins, or miss labeled. I spoke with Carol, I believe this bin labels have been corrected. "
25-062,2025-04-03 00:00:00,Customer Service,,,New stationary how to video too large to put on our FCI website
25-063,2025-04-03 00:00:00,kitting,DCP,,"seat frames from fab have 16 gauge 1"" seat tube holder. should be 18 gauge to fit seat post (#2414330)"
25-064,2025-04-04 00:00:00,Sales,,,QR code on a round tube does not work (demo bike)
25-065,2025-04-08 00:00:00,ASSEMBLY,,,BIKE SERIAL NUMBER 2250283 PARTS NUMBER 5012261 AND 5012504 NOT ON PICK LIST
25-066,2025-04-08 00:00:00,Assembly,Dcp Mini,Bike Frame,Uneven coating (ACS)
25-067,2025-04-09 00:00:00,Customer Service,Chill-Out Chair,COC Cover,COC has issue with stitched seam on cover on delivery
25-068,2025-04-09 00:00:00,Customer Service,Chill-Out Chair,Bike Accessories,COC tray damaged on delivery
25-069,2025-04-09 00:00:00,Customer Service,AS,Multiple,Trike arrived damaged
25-070,2025-04-09 00:00:00,Customer Service,ASR,Bike Drive Train,"Chain loosening off on ASR16, suspected eccentric BB issue on early ecc build."
25-071,2025-04-09 00:00:00,Customer Service,AS,Bike Steering,Trike arrived with ball joint missing from tie rod end
25-072,2025-04-10 00:00:00,Customer Service,DCP,Bike Steering,"Trike arrived with ball joint missing from tie rod end - reported by James, says was never there since being delivered. "
25-073,2025-04-11 00:00:00,Customer Service,DCP,Bike Steering,1 bolt stem loose on newly delivered trike & rh handle bar moving freely.
25-074,2025-04-11 00:00:00,Customer Service,ASR,Bike Drive Train,Loose spokes on both rear wheels
25-075,2025-04-11 00:00:00,Customer Service,ASR,Bike Accessories,"On/off not able to be set, stuck in FW.  Plunger damaged"
25-076,2025-04-11 00:00:00,Customer Service,DCP,,Customer called and mentioned that the trike was 'super dusty' and asked if it was a new bike or old. 
25-077,2025-04-11 00:00:00,Customer Service,,,No SN photo
25-078,2025-04-14 00:00:00,Customer Service,,,No SN photo
25-079,2025-04-15 00:00:00,ASSEMBLY,,,CANDY BLUE EHDO-U BAR FROM ACS POOR PAINT QUALITY
25-080,2025-04-15 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,Failed Rock'er base rod
25-081,2025-04-15 00:00:00,Production,Various,Bike Steering,"4 12.5IN Ubars, red, picked up April 14 from ACS, inspected today, showed minor flaws; fisheyes, fading paint.  Discussed with TP who directed me to an assembler. Discussed with JV, said we could use them by obscuring the flaws by decal placement or orientation of the bar. "
25-082,2025-04-16 00:00:00,Customer Service,,,"Wrong nut sent on parts order, it will not thread onto the bottom of the RS handle. Confirmed with Iain the p# is correct, but there is no set bin location. "
25-083,2025-04-16 00:00:00,Customer Service,Chill-Out Chair,,COC arrived damaged
25-084,2025-04-16 00:00:00,Customer Service,ASR,,"Continued issues with this parts order. We shipped a pulley and RS handle, customer not able to install and asked if he should hammer it on or press fit. I spoke with John who says the handle and pulley need to be prepped as they do not fit toghther as is. "
25-085,2025-04-21 00:00:00,Customer Service,,,"Parts order - backrest extension recieved with no thumb screws, no washers and only 8 wood screws"
25-086,2025-04-22 00:00:00,Customer Service,DCP,,"Rear steer clamp on tbar tightened very tight and crushed the tbar, unable to easlily remove and visually looks poor quality. "
25-087,2025-04-22 00:00:00,Kitting,,,locations given were old templates and not updated
25-088,2025-04-24 00:00:00,Customer Service,,,Missing hardware P# 4040981 on rocker base order
25-089,2025-04-24 00:00:00,Customer Service,DCP,Bike Accessories,"Damaged lateral on demo trike, unknown cause. "
25-090,2025-04-28 00:00:00,Customer Service,Chill-Out Chair,COC Cover,"Customer switched fabric when ordering, not noticed by order entry. Chair went out with incorrect cover. "
25-091,2025-04-28 00:00:00,Customer Service,ASR,Bike Accessories,Trike arrived with missing leg brace 
25-092,2025-04-29 00:00:00,Customer Service,DCP,Bike Accessories,"canopy not recieved with trike, missing in SN image. "
25-093,2025-05-02 00:00:00,Production,,,"Missing ""Built By"" tags on bikes"
25-094,2025-05-02 00:00:00,Customer Service,ET,,"ET2611 arrived damaged, should be able to repair locally. "
25-095,2025-05-05 00:00:00,Customer Service,DCP Mini,,Bike arrived with wrong nameplate  
25-096,2025-05-06 00:00:00,Customer Service,,,Received small footplates not med
25-097,2025-05-06 00:00:00,Customer Service,AS2011,Bike Accessories,"Ratchet strap fell off in shipping, hardeware now missing"
25-098,2025-05-02 00:00:00,Production,,,Some DCP and chair boxes not stapled at seam so could not use
25-099,2025-05-07 00:00:00,Customer Service,AS2000,,Crank Arm fell off the bike. This is a newer demo that has not been used often. Shipped 2025-02-04
25-100,2025-05-08 00:00:00,Customer Service,,,"COC headrest parts order well over ESD, was supposed to ship 04/20 and the customer is very upset. This parts order was not on any locked and loaded as being pushed and upholstery advised they only recieved the paperwork this week. Unsure if they only recieve the paperwork when it is time to make it, or if it was missed causing the delay. Production was able to get it completed today and shipped quickly."
25-101,2025-05-08 00:00:00,Assembly,,,"Frame was taken from stock, was extra frame from a while ago. return spring tab was in incorrect position had to install chain guard tab in order to allow installation of return spring."
25-102,2025-05-08 00:00:00,Customer Service,,,Race Runner Prototype with Motion blew a tire. 
25-103,2025-05-09 00:00:00,Customer Service,AS2000,Bike Seating,"Backrest extension missing screws, has used a different amount of screws from L to R, and the two brackets are not installed paralle which makes adjustment diffcult. "
25-104,2025-05-12 00:00:00,Customer Service,AS,Bike Accessories,Jack Nut insert pulled out of molded footplate
25-105,2025-05-12 00:00:00,Production,ASR,Bike Frame,ASR2011 Nrw from central sandblast has bubbling under the paint. new frame needed
25-106,2025-05-13 00:00:00,Production,DCP,Bike Accessories,DCP12 Tilt Fork Kit does not include the front wheel with longer axle for parts orders.  If we choose to send a wheel with every DCP12 Tilt fork kit parts order then either a wheel has to be add to the order by sales or a unique kit is required for parts orders.  
25-107,2025-05-15 00:00:00,Sales,DCP,Bike Accessories,New demo  - DCP Mini and the pedal is falling off. Will have Roger take care of it.
25-108,2025-05-16 00:00:00,Customer Service,,,"EA battery shipped and was not correct for their harness, needed an adapter which we do not stock. Images were in the order, not sure why the incorrect battery was shipped. "
25-109,2025-05-16 00:00:00,Customer Service,Chill-Out Chair,,COC Chair handle on the back of the chair ripped. 
25-110,2025-05-20 00:00:00,Customer Service,,,Name decal on Bike was funder orginization not kid's name as requested 
25-111,2025-05-20 00:00:00,Customer Service,,,"Part order was for Axle-AS/ASr FW & 20"" Solid Tir, part received rim with axle no solid tire"
25-112,2025-05-22 00:00:00,Customer Service,DCP,Bike Accessories,"Crank arm shortener bolt was very difficult to remove, and when did get it out the threads were damaged and this hole was not able to be used again. "
25-113,2025-05-22 00:00:00,Customer Service,ET,Bike Drive Train,Chain came off on the first ride and is now wedged in the midhub. 
25-114,2025-05-22 00:00:00,Customer Service,ASR,,Broken footplate
25-115,2025-05-22 00:00:00,Customer Service,,,"Trike arrived with no flag, this has been a continuing issue with JT Townsend where we miss nameplates or flags.  "
25-116,2025-05-26 00:00:00,Customer Service,ASR,Bike Drive Train,"New trike arrived and was ridden great for two days, everything was tight. Day 3 and when she pedals, there is lot of pedal movement before engaugement. Customer inspected and found the on/off shifting on the axle, no locktite as the customer is able to loosen set screws easily, and one or all of the set screws dimples were not drilled. This is a replacement trike for the first one which was manufacured with issues and was not able to be resolved, and now their replacement trike has failed."
25-117,2025-05-27 00:00:00,Production,,,dcp mini frame received from ACS. Bad run in paint on steering head down tube.
25-118,2025-05-27 00:00:00,Production,,,"Received frame from paint, incorrect frame was sent due to extended AS2000 frame stored in wrong area and incorect frame picked ."
25-119,2025-05-29 00:00:00,Production,ASR,Bike Frame,ASR2011 frame had to be modified in several areas in order for regular asssemblying to be completed. Frames should all be standardized in fabrication and not have to be modified in assembly. This is a continuous issue with all classes of frames.
25-121,2025-06-03 00:00:00,Customer Service,EHDO,Bike Drive Train,"Customer complains that her handlecycle would not brake or go into reverse in gears 1-4, but will work find in 5th. More information is required. This trike is a sold demo which shipped directly from Creative. "
25-122,2025-06-03 00:00:00,Customer Service,Chill-Out Chair,,Chair Cover dammaged in shipping
25-123,2025-06-04 00:00:00,Kitting,,Ubar,"Several Ubar came back with uneven paint/blotchy (Red,HRP,) Acs"
25-124,2025-06-05 00:00:00,Customer Service,,,Trike arrived without rear steer. It was added to the original order and I emailed all who needed to be aware but still missed. 
25-125,2025-06-06 00:00:00,Customer Service,DCP,,Customer only receive 1 part 6312014
25-126,2025-06-06 00:00:00,Customer Service,ASR,Bike Drive Train,"ASR2011 mud hub will not tune after numerious attempts. This trike had an issue with the outter snapring and cog popping off last year, possibly related. "
25-127,2025-06-09 00:00:00,Customer Service,EHDO,Bike Drive Train,Hub bushing and hub cover apparently fell off during a test ride with a demo.
